"ANO_ELEICAO","DESCRICAO_UE","SIGLA_PARTIDO","NOME_PARTIDO","CODIGO_SEXO","DESC_SIT_TOT_TURNO","QTDE_VOTOS"
"2006","AMAPÁ","PAN","PARTIDO DOS APOSENTADOS DA NAÇÃO","2","NÃO ELEITO","365"
"2006","ACRE","PAN","PARTIDO DOS APOSENTADOS DA NAÇÃO","2","NÃO ELEITO","611"
"2006","ALAGOAS","PAN","PARTIDO DOS APOSENTADOS DA NAÇÃO","2","NÃO ELEITO","695"
"2006","SÃO PAULO","PAN","PARTIDO DOS APOSENTADOS DA NAÇÃO","2","NÃO ELEITO","6607"
"2006","TOCANTINS","PC do B","PARTIDO COMUNISTA DO BRASIL","2","NÃO ELEITO","9206"
"2006","RIO GRANDE DO NORTE","PCB","PARTIDO COMUNISTA BRASILEIRO","2","NÃO ELEITO","2470"
"2006","PARAÍBA","PCB","PARTIDO COMUNISTA BRASILEIRO","2","NÃO ELEITO","1698"
"2006","SERGIPE","PCB","PARTIDO COMUNISTA BRASILEIRO","2","NÃO ELEITO","2562"
"2006","CEARÁ","PCO","PARTIDO DA CAUSA OPERÁRIA","4","NÃO ELEITO","4165"
"2006","AMAZONAS","PCO","PARTIDO DA CAUSA OPERÁRIA","2","NÃO ELEITO","316"
"2006","PIAUÍ","PCO","PARTIDO DA CAUSA OPERÁRIA","4","NÃO ELEITO","715"
"2006","PERNAMBUCO","PCO","PARTIDO DA CAUSA OPERÁRIA","2","NÃO ELEITO","1597"
"2006","PARANÁ","PCO","PARTIDO DA CAUSA OPERÁRIA","2","NÃO ELEITO","781"
"2006","ESPÍRITO SANTO","PCO","PARTIDO DA CAUSA OPERÁRIA","2","NÃO ELEITO","878"
"2006","BAHIA","PCO","PARTIDO DA CAUSA OPERÁRIA","2","NÃO ELEITO","4354"
"2006","PARAÍBA","PCO","PARTIDO DA CAUSA OPERÁRIA","4","NÃO ELEITO","3902"
"2006","SÃO PAULO","PCO","PARTIDO DA CAUSA OPERÁRIA","4","NÃO ELEITO","5902"
"2006","MINAS GERAIS","PCO","PARTIDO DA CAUSA OPERÁRIA","4","NÃO ELEITO","6593"
"2006","RORAIMA","PCO","PARTIDO DA CAUSA OPERÁRIA","2","NÃO ELEITO","123"
"2006","RIO GRANDE DO SUL","PCO","PARTIDO DA CAUSA OPERÁRIA","2","NÃO ELEITO","3018"
"2006","DISTRITO FEDERAL","PCO","PARTIDO DA CAUSA OPERÁRIA","2","NÃO ELEITO","2092"
"2006","RIO DE JANEIRO","PCO","PARTIDO DA CAUSA OPERÁRIA","4","NÃO ELEITO","4178"
"2006","AMAPÁ","PDT","PARTIDO DEMOCRÁTICO TRABALHISTA","2","ELEITO","160150"
"2006","RORAIMA","PDT","PARTIDO DEMOCRÁTICO TRABALHISTA","2","NÃO ELEITO","5502"
"2006","AMAZONAS","PDT","PARTIDO DEMOCRÁTICO TRABALHISTA","2","NÃO ELEITO","35827"
"2006","RIO GRANDE DO SUL","PDT","PARTIDO DEMOCRÁTICO TRABALHISTA","2","NÃO ELEITO","229639"
"2006","PARANÁ","PDT","PARTIDO DEMOCRÁTICO TRABALHISTA","2","2º TURNO","2093161"
"2006","ESPÍRITO SANTO","PDT","PARTIDO DEMOCRÁTICO TRABALHISTA","2","NÃO ELEITO","373474"
"2006","MARANHÃO","PDT","PARTIDO DEMOCRÁTICO TRABALHISTA","2","2º TURNO","933089"
"2006","SANTA CATARINA","PDT","PARTIDO DEMOCRÁTICO TRABALHISTA","2","NÃO ELEITO","30815"
"2006","SERGIPE","PDT","PARTIDO DEMOCRÁTICO TRABALHISTA","2","NÃO ELEITO","21183"
"2006","SÃO PAULO","PDT","PARTIDO DEMOCRÁTICO TRABALHISTA","2","NÃO ELEITO","430847"
"2006","MARANHÃO","PDT","PARTIDO DEMOCRÁTICO TRABALHISTA","2","ELEITO","1393754"
"2006","RIO DE JANEIRO","PDT","PARTIDO DEMOCRÁTICO TRABALHISTA","2","NÃO ELEITO","125735"
"2006","PARANÁ","PDT","PARTIDO DEMOCRÁTICO TRABALHISTA","2","NÃO ELEITO","2658132"
"2006","BAHIA","PFL","PARTIDO DA FRENTE LIBERAL","2","NÃO ELEITO","2638215"
