"ANO_ELEICAO","DESCRICAO_UE","SIGLA_PARTIDO","NOME_PARTIDO","CODIGO_SEXO","DESC_SIT_TOT_TURNO","QTDE_VOTOS"
"2010","RIO GRANDE DO NORTE","DEM","DEMOCRATAS","4","ELEITO","813813"
"2010","BAHIA","DEM","DEMOCRATAS","2","NÃO ELEITO","1033600"
"2010","SERGIPE","DEM","DEMOCRATAS","2","NÃO ELEITO","466219"
"2010","SANTA CATARINA","DEM","DEMOCRATAS","2","ELEITO","1815304"
"2010","MARANHÃO","PC do B","PARTIDO COMUNISTA DO BRASIL","2","NÃO ELEITO","859402"
"2010","PARAÍBA","PCB","PARTIDO COMUNISTA BRASILEIRO","2","NÃO ELEITO","1886"
"2010","GOIÁS","PCB","PARTIDO COMUNISTA BRASILEIRO","4","NÃO ELEITO","14928"
"2010","AMAZONAS","PCB","PARTIDO COMUNISTA BRASILEIRO","2","NÃO ELEITO","5726"
"2010","PARANÁ","PCB","PARTIDO COMUNISTA BRASILEIRO","2","NÃO ELEITO","3826"
"2010","BAHIA","PCB","PARTIDO COMUNISTA BRASILEIRO","2","NÃO ELEITO","4969"
"2010","RIO DE JANEIRO","PCB","PARTIDO COMUNISTA BRASILEIRO","2","NÃO ELEITO","11299"
"2010","PERNAMBUCO","PCB","PARTIDO COMUNISTA BRASILEIRO","2","REGISTRO NEGADO ANTES DA ELEIÇÃO","2364"
"2010","MINAS GERAIS","PCB","PARTIDO COMUNISTA BRASILEIRO","2","NÃO ELEITO","6763"
"2010","SÃO PAULO","PCB","PARTIDO COMUNISTA BRASILEIRO","2","REGISTRO NEGADO ANTES DA ELEIÇÃO","7913"
"2010","CEARÁ","PCB","PARTIDO COMUNISTA BRASILEIRO","4","REGISTRO NEGADO ANTES DA ELEIÇÃO","3063"
"2010","RIO GRANDE DO NORTE","PCB","PARTIDO COMUNISTA BRASILEIRO","2","NÃO ELEITO","2078"
"2010","RIO GRANDE DO SUL","PCB","PARTIDO COMUNISTA BRASILEIRO","2","NÃO ELEITO","1889"
"2010","MARANHÃO","PCB","PARTIDO COMUNISTA BRASILEIRO","2","NÃO ELEITO","2518"
"2010","SANTA CATARINA","PCB","PARTIDO COMUNISTA BRASILEIRO","2","NÃO ELEITO","2538"
"2010","ALAGOAS","PCB","PARTIDO COMUNISTA BRASILEIRO","2","NÃO ELEITO","8758"
"2010","DISTRITO FEDERAL","PCB","PARTIDO COMUNISTA BRASILEIRO","2","REGISTRO NEGADO ANTES DA ELEIÇÃO","877"
"2010","SERGIPE","PCB","PARTIDO COMUNISTA BRASILEIRO","2","NÃO ELEITO","4247"
"2010","SÃO PAULO","PCO","PARTIDO DA CAUSA OPERÁRIA","4","NÃO ELEITO","4656"
"2010","DISTRITO FEDERAL","PCO","PARTIDO DA CAUSA OPERÁRIA","2","REGISTRO NEGADO ANTES DA ELEIÇÃO","562"
"2010","PARAÍBA","PCO","PARTIDO DA CAUSA OPERÁRIA","4","NÃO ELEITO","2442"
"2010","MINAS GERAIS","PCO","PARTIDO DA CAUSA OPERÁRIA","2","NÃO ELEITO","2788"
"2010","ALAGOAS","PDT","PARTIDO DEMOCRÁTICO TRABALHISTA","2","2º TURNO","394155"
"2010","PARANÁ","PDT","PARTIDO DEMOCRÁTICO TRABALHISTA","2","NÃO ELEITO","2645341"
"2010","ALAGOAS","PDT","PARTIDO DEMOCRÁTICO TRABALHISTA","2","NÃO ELEITO","638762"
"2010","RIO GRANDE DO NORTE","PDT","PARTIDO DEMOCRÁTICO TRABALHISTA","2","NÃO ELEITO","160828"
"2010","MARANHÃO","PDT","PARTIDO DEMOCRÁTICO TRABALHISTA","2","NÃO ELEITO","569412"
"2010","RORAIMA","PHS","PARTIDO HUMANISTA DA SOLIDARIEDADE","2","NÃO ELEITO","14063"
"2010","PARÁ","PMDB","PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO","2","NÃO ELEITO","380331"
"2010","MARANHÃO","PMDB","PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO","4","ELEITO","1459792"
"2010","GOIÁS","PMDB","PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO","2","2º TURNO","1099552"
"2010","RIO GRANDE DO SUL","PMDB","PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO","2","NÃO ELEITO","1554836"
"2010","MATO GROSSO DO SUL","PMDB","PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO","2","ELEITO","704407"
"2010","RIO DE JANEIRO","PMDB","PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO","2","ELEITO","5217972"
"2010","PERNAMBUCO","PMDB","PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO","2","NÃO ELEITO","585724"
"2010","BAHIA","PMDB","PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO","2","NÃO ELEITO","1000038"
"2010","MATO GROSSO","PMDB","PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO","2","ELEITO","759805"
"2010","PARAÍBA","PMDB","PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO","2","NÃO ELEITO","930331"
"2010","GOIÁS","PMDB","PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO","2","NÃO ELEITO","1376188"
"2010","TOCANTINS","PMDB","PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO","2","NÃO ELEITO","342429"
"2010","RONDÔNIA","PMDB","PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO","2","ELEITO","422707"
"2010","MINAS GERAIS","PMDB","PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO","2","NÃO ELEITO","3419622"
"2010","PARAÍBA","PMDB","PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO","2","2º TURNO","933754"
"2010","RONDÔNIA","PMDB","PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO","2","2º TURNO","291765"
"2010","RIO GRANDE DO SUL","PMN","PARTIDO DA MOBILIZAÇÃO NACIONAL","2","NÃO ELEITO","5475"
"2010","AMAZONAS","PMN","PARTIDO DA MOBILIZAÇÃO NACIONAL","2","ELEITO","943955"
"2010","PIAUÍ","PMN","PARTIDO DA MOBILIZAÇÃO NACIONAL","2","NÃO ELEITO","1376"
"2010","SANTA CATARINA","PMN","PARTIDO DA MOBILIZAÇÃO NACIONAL","2","NÃO ELEITO","2986"
"2010","AMAPÁ","PP","PARTIDO PROGRESSISTA","2","NÃO ELEITO","44870"
"2010","SANTA CATARINA","PP","PARTIDO PROGRESSISTA","4","NÃO ELEITO","857698"
"2010","RORAIMA","PP","PARTIDO PROGRESSISTA","2","2º TURNO","104804"
"2010","RORAIMA","PP","PARTIDO PROGRESSISTA","2","NÃO ELEITO","105707"
"2010","SÃO PAULO","PP","PARTIDO PROGRESSISTA","2","NÃO ELEITO","1233897"
"2010","RONDÔNIA","PPS","PARTIDO POPULAR SOCIALISTA","2","2º TURNO","246350"
"2010","RONDÔNIA","PPS","PARTIDO POPULAR SOCIALISTA","2","NÃO ELEITO","297674"
"2010","AMAZONAS","PPS","PARTIDO POPULAR SOCIALISTA","2","NÃO ELEITO","138281"
"2010","CEARÁ","PR","PARTIDO DA REPÚBLICA","2","NÃO ELEITO","654035"
"2010","RIO DE JANEIRO","PR","PARTIDO DA REPÚBLICA","2","NÃO ELEITO","853220"
"2010","AMAZONAS","PR","PARTIDO DA REPÚBLICA","2","NÃO ELEITO","382935"
"2010","GOIÁS","PR","PARTIDO DA REPÚBLICA","2","NÃO ELEITO","502462"
"2010","RIO GRANDE DO SUL","PRP","PARTIDO REPUBLICANO PROGRESSISTA","2","NÃO ELEITO","11264"
"2010","SERGIPE","PRTB","PARTIDO RENOVADOR TRABALHISTA BRASILEIRO","2","NÃO ELEITO","1796"
"2010","ACRE","PRTB","PARTIDO RENOVADOR TRABALHISTA BRASILEIRO","2","NÃO ELEITO","1035"
"2010","PARANÁ","PRTB","PARTIDO RENOVADOR TRABALHISTA BRASILEIRO","2","NÃO ELEITO","3642"
"2010",,"PRTB","PARTIDO RENOVADOR TRABALHISTA BRASILEIRO",,,"1746"
"2010","ESPÍRITO SANTO","PRTB","PARTIDO RENOVADOR TRABALHISTA BRASILEIRO","2","NÃO ELEITO","1935"
"2010","PERNAMBUCO","PRTB","PARTIDO RENOVADOR TRABALHISTA BRASILEIRO","2","NÃO ELEITO","2751"
"2010","ALAGOAS","PRTB","PARTIDO RENOVADOR TRABALHISTA BRASILEIRO","2","NÃO ELEITO","5752"
"2010","PIAUÍ","PSB","PARTIDO SOCIALISTA BRASILEIRO","2","ELEITO","921313"
"2010","PIAUÍ","PSB","PARTIDO SOCIALISTA BRASILEIRO","2","2º TURNO","725563"
"2010","AMAPÁ","PSB","PARTIDO SOCIALISTA BRASILEIRO","2","ELEITO","170277"
"2010","CEARÁ","PSB","PARTIDO SOCIALISTA BRASILEIRO","2","ELEITO","2436940"
"2010","PARAÍBA","PSB","PARTIDO SOCIALISTA BRASILEIRO","2","2º TURNO","942121"
"2010","PERNAMBUCO","PSB","PARTIDO SOCIALISTA BRASILEIRO","2","ELEITO","3450874"
"2010","MATO GROSSO","PSB","PARTIDO SOCIALISTA BRASILEIRO","2","NÃO ELEITO","472475"
"2010","ESPÍRITO SANTO","PSB","PARTIDO SOCIALISTA BRASILEIRO","2","ELEITO","1502070"
"2010","RIO GRANDE DO NORTE","PSB","PARTIDO SOCIALISTA BRASILEIRO","2","NÃO ELEITO","562256"
"2010","PARAÍBA","PSB","PARTIDO SOCIALISTA BRASILEIRO","2","ELEITO","1079164"
"2010","AMAPÁ","PSB","PARTIDO SOCIALISTA BRASILEIRO","2","2º TURNO","95328"
"2010","SÃO PAULO","PSB","PARTIDO SOCIALISTA BRASILEIRO","2","NÃO ELEITO","1038430"
"2010","DISTRITO FEDERAL","PSC","PARTIDO SOCIAL CRISTÃO","4","2º TURNO","440128"
"2010","DISTRITO FEDERAL","PSC","PARTIDO SOCIAL CRISTÃO","4","NÃO ELEITO","449110"
"2010","TOCANTINS","PSDB","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA","2","ELEITO","349592"
"2010","RORAIMA","PSDB","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA","2","2º TURNO","99124"
"2010","MATO GROSSO","PSDB","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA","2","NÃO ELEITO","245527"
"2010","PIAUÍ","PSDB","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA","2","2º TURNO","470660"
"2010","PIAUÍ","PSDB","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA","2","NÃO ELEITO","642165"
"2010","PARANÁ","PSDB","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA","2","ELEITO","3039774"
"2010","RONDÔNIA","PSDB","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA","2","REGISTRO NEGADO ANTES DA ELEIÇÃO","124625"
"2010","GOIÁS","PSDB","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA","2","2º TURNO","1400227"
"2010","GOIÁS","PSDB","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA","2","ELEITO","1551132"
"2010","ESPÍRITO SANTO","PSDB","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA","2","NÃO ELEITO","282910"
"2010","SÃO PAULO","PSDB","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA","2","ELEITO","11519314"
"2010","CEARÁ","PSDB","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA","2","NÃO ELEITO","775852"
"2010","RIO GRANDE DO SUL","PSDB","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA","4","NÃO ELEITO","1156386"
"2010","AMAPÁ","PSDB","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA","2","NÃO ELEITO","93695"
"2010","ACRE","PSDB","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA","2","NÃO ELEITO","165705"
"2010","PARÁ","PSDB","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA","2","2º TURNO","1720631"
"2010","RORAIMA","PSDB","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA","2","ELEITO","107466"
"2010","ALAGOAS","PSDB","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA","2","2º TURNO","534962"
"2010","ALAGOAS","PSDB","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA","2","ELEITO","712789"
"2010","MINAS GERAIS","PSDB","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA","2","ELEITO","6275520"
"2010","PARÁ","PSDB","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA","2","ELEITO","1860799"
"2010","SERGIPE","PSDC","PARTIDO SOCIAL DEMOCRATA CRISTÃO","2","NÃO ELEITO","9199"
"2010","PIAUÍ","PSL","PARTIDO SOCIAL LIBERAL","2","NÃO ELEITO","3106"
"2010","DISTRITO FEDERAL","PSL","PARTIDO SOCIAL LIBERAL","2","RENÚNCIA/FALECIMENTO/CASSAÇÃO ANTES A ELEIÇÃO","2080"
