"ANO_ELEICAO","DESCRICAO_UE","SIGLA_PARTIDO","NOME_PARTIDO","CODIGO_SEXO","DESC_SIT_TOT_TURNO","QTDE_VOTOS"
"2004","CANINDE","PAN","PARTIDO DOS APOSENTADOS DA NAÇÃO","2","NÃO ELEITO","54"
"2004","SANTANA DE PARNAIBA","PAN","PARTIDO DOS APOSENTADOS DA NAÇÃO","2","NÃO ELEITO","14"
"2004","SAO JOSE DOS CAMPOS","PAN","PARTIDO DOS APOSENTADOS DA NAÇÃO","2","NÃO ELEITO","1023"
"2004","IGARAPAVA","PAN","PARTIDO DOS APOSENTADOS DA NAÇÃO","2","ELEITO","6373"
"2004","PINHEIRO","PAN","PARTIDO DOS APOSENTADOS DA NAÇÃO","2","NÃO ELEITO","12175"
"2004","PARNAMIRIM","PAN","PARTIDO DOS APOSENTADOS DA NAÇÃO","2","NÃO ELEITO","1451"
"2004","SAO SEBASTIAO DO PARAISO","PAN","PARTIDO DOS APOSENTADOS DA NAÇÃO","2","NÃO ELEITO","423"
"2004","GUARULHOS","PAN","PARTIDO DOS APOSENTADOS DA NAÇÃO","2","NÃO ELEITO","1433"
"2004","MAXARANGUAPE","PAN","PARTIDO DOS APOSENTADOS DA NAÇÃO","2","NÃO ELEITO","111"
"2004","MACAE","PAN","PARTIDO DOS APOSENTADOS DA NAÇÃO","2","NÃO ELEITO","2992"
"2004","MARATAIZES","PAN","PARTIDO DOS APOSENTADOS DA NAÇÃO","2","NÃO ELEITO","6673"
"2004","ARCOVERDE","PAN","PARTIDO DOS APOSENTADOS DA NAÇÃO","2","NÃO ELEITO","73"
"2004","MORENO","PAN","PARTIDO DOS APOSENTADOS DA NAÇÃO","2","NÃO ELEITO","8489"
"2004","IBICARAI","PAN","PARTIDO DOS APOSENTADOS DA NAÇÃO","2","NÃO ELEITO","92"
"2004","ITABUNA","PAN","PARTIDO DOS APOSENTADOS DA NAÇÃO","2","NÃO ELEITO","1557"
"2004","SAO PAULO","PAN","PARTIDO DOS APOSENTADOS DA NAÇÃO","2","NÃO ELEITO","16339"
"2004","UBERLANDIA","PAN","PARTIDO DOS APOSENTADOS DA NAÇÃO","2","NÃO ELEITO","435"
"2004","ITACARE","PAN","PARTIDO DOS APOSENTADOS DA NAÇÃO","2","NÃO ELEITO","270"
"2004","ITABIRA","PAN","PARTIDO DOS APOSENTADOS DA NAÇÃO","2","NÃO ELEITO","17538"
"2004","ARACAJU","PAN","PARTIDO DOS APOSENTADOS DA NAÇÃO","2","NÃO ELEITO","2906"
"2004","AMARAJI","PAN","PARTIDO DOS APOSENTADOS DA NAÇÃO","2","NÃO ELEITO","17"
"2004","MUZAMBINHO","PAN","PARTIDO DOS APOSENTADOS DA NAÇÃO","2","NÃO ELEITO","99"
"2004","SAMBAIBA","PAN","PARTIDO DOS APOSENTADOS DA NAÇÃO","2","NÃO ELEITO","1074"
"2004","ITAPEMIRIM","PAN","PARTIDO DOS APOSENTADOS DA NAÇÃO","2","RENÚNCIA/FALECIMENTO/CASSAÇÃO ANTES A ELEIÇÃO","37"
