"ANO_ELEICAO","DESCRICAO_UE","SIGLA_PARTIDO","NOME_PARTIDO","CODIGO_SEXO","DESC_SIT_TOT_TURNO","QTDE_VOTOS"
"2006","SÃO PAULO","PAN","PARTIDO DOS APOSENTADOS DA NAÇÃO","2","NÃO ELEITO","2550"
"2006","ALAGOAS","PAN","PARTIDO DOS APOSENTADOS DA NAÇÃO","2","NÃO ELEITO","419"
"2006","GOIÁS","PC do B","PARTIDO COMUNISTA DO BRASIL","2","NÃO ELEITO","115689"
"2006","PERNAMBUCO","PC do B","PARTIDO COMUNISTA DO BRASIL","2","NÃO ELEITO","835980"
"2006","MATO GROSSO","PC do B","PARTIDO COMUNISTA DO BRASIL","4","NÃO ELEITO","194158"
"2006","RIO DE JANEIRO","PC do B","PARTIDO COMUNISTA DO BRASIL","4","NÃO ELEITO","2761216"
"2006","DISTRITO FEDERAL","PC do B","PARTIDO COMUNISTA DO BRASIL","2","NÃO ELEITO","544313"
"2006","CEARÁ","PC do B","PARTIDO COMUNISTA DO BRASIL","2","ELEITO","1912663"
"2006","PARAÍBA","PCB","PARTIDO COMUNISTA BRASILEIRO","2","NÃO ELEITO","2384"
"2006","SERGIPE","PCB","PARTIDO COMUNISTA BRASILEIRO","2","NÃO ELEITO","10648"
"2006","MINAS GERAIS","PCB","PARTIDO COMUNISTA BRASILEIRO","2","NÃO ELEITO","9589"
"2006","PERNAMBUCO","PCB","PARTIDO COMUNISTA BRASILEIRO","2","NÃO ELEITO","5286"
"2006","CEARÁ","PCB","PARTIDO COMUNISTA BRASILEIRO","2","NÃO ELEITO","6084"
"2006","GOIÁS","PCB","PARTIDO COMUNISTA BRASILEIRO","2","NÃO ELEITO","3777"
"2006","AMAZONAS","PCB","PARTIDO COMUNISTA BRASILEIRO","2","NÃO ELEITO","1848"
"2006","AMAPÁ","PCB","PARTIDO COMUNISTA BRASILEIRO","2","NÃO ELEITO","327"
"2006","RIO GRANDE DO NORTE","PCB","PARTIDO COMUNISTA BRASILEIRO","2","NÃO ELEITO","1912"
"2006","DISTRITO FEDERAL","PCB","PARTIDO COMUNISTA BRASILEIRO","2","NÃO ELEITO","1835"
